🔒 ID deliverable _txt,🚧/ id Function _txt copy copy,title deliverable _txt,bckoff/ id Macro-Function _txt,bckoff/ id Function _txt,bckoff/ desc deliverable _txt,interact/ (TP) FakeForRelation
X9BJPC-PTy6QnwSfwff--Q,Formation,Evaluation de la formation,my6VdsqMSt2govE7qBhx0w,Xb.MXcL.SeORmPcvQHeS2g,Évaluer l'efficacité des programmes de formation en termes d'amélioration des compétences et des connaissances,[For Relation Deliverable - Usc Entry]
I9XBq1vJQrOvBUW.aOL6wA,Formation,Logiciels et outils,my6VdsqMSt2govE7qBhx0w,Xb.MXcL.SeORmPcvQHeS2g,Sélection de la pile du ou des systèmes d'information de la sous-fonction,[For Relation Deliverable - Usc Entry]
06dg-OzHQQax8ql9sloglw,Communication RH,"OKRs, KPIs et reporting",my6VdsqMSt2govE7qBhx0w,4FkWRY6vRsmMPdRTqlrAoA,1. Définir les objectifs et les mesures clés de la sous-fonction. 2. Contrôler la feuille de route et les indicateurs de la sous-fonction.,[For Relation Deliverable - Usc Entry]
sw.m5jJcR0621Zil3OS1uw,Communication RH,Plan de communication,my6VdsqMSt2govE7qBhx0w,4FkWRY6vRsmMPdRTqlrAoA,"Définir un plan de communication avec des messages clés, des canaux, des délais...",[For Relation Deliverable - Usc Entry]
IXMfeqKaRh6NLmJRuyFRCQ,Communication RH,Matériel de communication,my6VdsqMSt2govE7qBhx0w,4FkWRY6vRsmMPdRTqlrAoA,"Créer divers supports de communication, y compris des présentations, des vidéos et du contenu audio.",[For Relation Deliverable - Usc Entry]
2gQ6NG2mRvmBgSjdVl5S6Q,Communication RH,Mécanismes de retour d'information,my6VdsqMSt2govE7qBhx0w,4FkWRY6vRsmMPdRTqlrAoA,Fournir des plateformes permettant aux employés de partager leurs idées et leurs commentaires.,[For Relation Deliverable - Usc Entry]
OaiCdmuKQVSusHsDVhrb5A,Communication RH,Diffusion de l'information,my6VdsqMSt2govE7qBhx0w,4FkWRY6vRsmMPdRTqlrAoA,Assurer une distribution rapide et précise des informations importantes sur l'entreprise.,[For Relation Deliverable - Usc Entry]
JuAieISBT2WlL9IRD1wvAA,Communication RH,Logiciels et outils,my6VdsqMSt2govE7qBhx0w,4FkWRY6vRsmMPdRTqlrAoA,Sélectionner la pile du/des système(s) d'information de la sous-fonction,[For Relation Deliverable - Usc Entry]
Mqdv3MvvSk2PkVvb-8kBAg,Relations Sociales,"OKRs, KPIs et rapports",my6VdsqMSt2govE7qBhx0w,tU7dohtpQ4yP501NNfnKNg,1. Définir les objectifs et les mesures clés de la sous-fonction. 2. Contrôler la feuille de route et les indicateurs de la sous-fonction.,[For Relation Deliverable - Usc Entry]
hQOKD0zmRKCmCPxnpQqlwA,Relations Sociales,Relations avec les syndicats,my6VdsqMSt2govE7qBhx0w,tU7dohtpQ4yP501NNfnKNg,"Gérer les relations avec les syndicats, ce qui implique des négociations, des négociations collectives, la gestion des griefs et la résolution des conflits.",[For Relation Deliverable - Usc Entry]
6YvpuqgzRgGHDQYkbOBOKg,Relations Sociales,Comité d'hygiène et de sécurité (CHSCT en France),my6VdsqMSt2govE7qBhx0w,tU7dohtpQ4yP501NNfnKNg,"Gérer la santé et la sécurité sur le lieu de travail, l'évaluation des risques, la conformité, et répondre aux préoccupations des employés en matière de sécurité.",[For Relation Deliverable - Usc Entry]
j6m.77c7RUCgon99LzbPPA,Relations Sociales,Comité d'entreprise (CE),my6VdsqMSt2govE7qBhx0w,tU7dohtpQ4yP501NNfnKNg,"Collaborer avec le comité d'entreprise pour discuter et négocier des questions liées aux droits et avantages des salariés, aux politiques du lieu de travail, aux informations économiques et financières et aux changements organisationnels.",[For Relation Deliverable - Usc Entry]
A3Z3CFlFSNuGQZcqP1gkPA,Relations Sociales,Représentation des salariés,my6VdsqMSt2govE7qBhx0w,tU7dohtpQ4yP501NNfnKNg,"Faciliter la représentation des salariés dans les processus de prise de décision, en veillant à ce que les salariés puissent s'exprimer sur les questions touchant à leur travail et à leurs conditions de travail.",[For Relation Deliverable - Usc Entry]
xSksclbVTUiQHWASR-ASfQ,Relations Sociales,Conformité juridique,my6VdsqMSt2govE7qBhx0w,tU7dohtpQ4yP501NNfnKNg,Veiller à ce que toutes les interactions et négociations soient conformes à la législation et à la réglementation du travail.,[For Relation Deliverable - Usc Entry]
gcBLmiJxQU2k-cdukTjcyA,Relations Sociales,Logiciels et outils,my6VdsqMSt2govE7qBhx0w,tU7dohtpQ4yP501NNfnKNg,Sélectionner la pile du ou des systèmes d'information de la sous-fonction,[For Relation Deliverable - Usc Entry]
u46ZuJPyQO-pXb7Qq2zWnQ,Processus et Outils RH,"OKRs, KPIs et reporting",my6VdsqMSt2govE7qBhx0w,kVF1.pVTQpKvHy5Alb3O-w,1. Définir les objectifs et les mesures clés de la sous-fonction. 2. Contrôler la feuille de route et les indicateurs de la sous-fonction.,[For Relation Deliverable - Usc Entry]
fS2DdRtTSVK2JlDEa40MYg,Processus et Outils RH,Optimisation des processus,my6VdsqMSt2govE7qBhx0w,kVF1.pVTQpKvHy5Alb3O-w,Définir des processus et des outils aussi rationalisés que possible pour chaque sous-fonction.,[For Relation Deliverable - Usc Entry]
4WXDi63sS92horqr7rd0dA,Processus et Outils RH,Mise en œuvre du système d'information (projet),my6VdsqMSt2govE7qBhx0w,kVF1.pVTQpKvHy5Alb3O-w,"Superviser la mise en œuvre des systèmes d'information RH, y compris la définition du champ d'application, la sélection du fournisseur, la personnalisation, l'intégration des données et la formation.",[For Relation Deliverable - Usc Entry]
a-UbanA4wTLu8GJal34BJ6Q,Processus et Outils RH,Relations avec les fournisseurs externes,my6VdsqMSt2govE7qBhx0w,kVF1.pVTQpKvHy5Alb3O-w,Gérer les accords de niveau de service et les relations avec les prestataires de services RH externes et les fournisseurs.,[For Relation Deliverable - Usc Entry]
sl4sOM7hQriCEqi2K8v1Yg,Processus et Outils RH,Gestion des données,my6VdsqMSt2govE7qBhx0w,kVF1.pVTQpKvHy5Alb3O-w,Maintenir l'exactitude et la sécurité des données,[For Relation Deliverable - Usc Entry]
pL7DFRtDTgSemSbBeAyWGg,Processus et Outils RH,Logiciels et outils,my6VdsqMSt2govE7qBhx0w,kVF1.pVTQpKvHy5Alb3O-w,Sélectionner la pile du (des) système(s) d'information de la sous-fonction,[For Relation Deliverable - Usc Entry]
u3.1cKJiRxmcQZcOHrgoDA,"Relations Employés (""HR BP"")","OKRs, KPIs et reporting",my6VdsqMSt2govE7qBhx0w,bWbuzcfJR2y2f-5yUIw1ew,1. Définir les objectifs et les mesures clés de la sous-fonction. 2. Contrôler la feuille de route et les indicateurs de la sous-fonction.,[For Relation Deliverable - Usc Entry]
KW1mabx4TDCoHLzk2psmXA,"Relations Employés (""HR BP"")",Déploiement de politiques,my6VdsqMSt2govE7qBhx0w,bWbuzcfJR2y2f-5yUIw1ew,Mettre en œuvre une application cohérente des politiques dans l'ensemble de l'organisation.,[For Relation Deliverable - Usc Entry]
wbDl00VQQPq5jonVsj0OsQ,"Relations Employés (""HR BP"")",Déploiement de la formation,my6VdsqMSt2govE7qBhx0w,bWbuzcfJR2y2f-5yUIw1ew,Coordonner l'exécution des stratégies de formation et organiser les aspects logistiques des sessions de formation.,[For Relation Deliverable - Usc Entry]
DefFgxXLTp6.KdyOiWYsOQ,"Relations Employés (""HR BP"")",Déploiement de la communication,my6VdsqMSt2govE7qBhx0w,bWbuzcfJR2y2f-5yUIw1ew,"Relayer la communication, organiser des activités et des événements",[For Relation Deliverable - Usc Entry]
IQPLjnyKT.uzXVwOwLVX6A,"Relations Employés (""HR BP"")",Déploiement de la stratégie de diversité et d'inclusion,my6VdsqMSt2govE7qBhx0w,bWbuzcfJR2y2f-5yUIw1ew,"Mettre en œuvre des initiatives locales, s'aligner sur les ERG, communiquer, mesurer l'application, etc.",[For Relation Deliverable - Usc Entry]
avf.jvEhSYSFnxKLnd7-og,"Relations Employés (""HR BP"")",Relations avec les employés et conflits,my6VdsqMSt2govE7qBhx0w,bWbuzcfJR2y2f-5yUIw1ew,Cultiver une culture positive et inclusive sur le lieu de travail.,[For Relation Deliverable - Usc Entry]
BmHH6SG3RqixKbAazXrk0w,"Relations Employés (""HR BP"")",Gestion du changement,my6VdsqMSt2govE7qBhx0w,bWbuzcfJR2y2f-5yUIw1ew,Soutenir les départements dans le cadre de changements organisationnels.,[For Relation Deliverable - Usc Entry]
dTbusgudRiOE7kNnXOifzw,"Relations Employés (""HR BP"")",Déploiement de la culture du lieu de travail,my6VdsqMSt2govE7qBhx0w,bWbuzcfJR2y2f-5yUIw1ew,Traiter et résoudre les problèmes et les conflits sur le lieu de travail.,[For Relation Deliverable - Usc Entry]
6C1Reo6kQQaG445WTFxYsw,"Relations Employés (""HR BP"")",Sortie des employés,my6VdsqMSt2govE7qBhx0w,bWbuzcfJR2y2f-5yUIw1ew,"Organiser le départ d'un employé (en raison d'une démission, d'une mise à pied ou d'une retraite).",[For Relation Deliverable - Usc Entry]
y-IlG570R2KlTnADgenBvA,"Relations Employés (""HR BP"")",Logiciels et outils,my6VdsqMSt2govE7qBhx0w,bWbuzcfJR2y2f-5yUIw1ew,Sélectionner la pile du ou des systèmes d'information de la sous-fonction.,[For Relation Deliverable - Usc Entry]
